,variable
0,PRMSL
1,REFD
2,PRES
3,CLMR
4,CICE
5,RWMR
6,SNMR
7,REFD
8,TCOND
9,RIME
10,HGT
11,TMP
12,RH
13,SPFH
14,UGRD
15,VGRD
16,VVEL
17,TKE
18,UGRD
19,VGRD
20,TKE
21,REFC
22,VIL
23,VIS
24,VIS
25,BMIXL
26,HGT
27,UGRD
28,VGRD
29,VRATE
30,GUST
31,RETOP
32,HGT
33,TMP
34,RH
35,SPFH
36,VVEL
37,DZDT
38,UGRD
39,VGRD
40,HGT
41,TMP
42,RH
43,SPFH
44,VVEL
45,DZDT
46,UGRD
47,VGRD
48,HGT
49,TMP
50,RH
51,SPFH
52,VVEL
53,DZDT
54,UGRD
55,VGRD
56,TKE
57,CLMR
58,CICE
59,RWMR
60,SNMR
61,RIME
62,HGT
63,TMP
64,RH
65,SPFH
66,VVEL
67,DZDT
68,UGRD
69,VGRD
70,TKE
71,CLMR
72,CICE
73,RWMR
74,SNMR
75,RIME
76,HGT
77,TMP
78,RH
79,SPFH
80,VVEL
81,DZDT
82,UGRD
83,VGRD
84,TKE
85,CLMR
86,CICE
87,RWMR
88,SNMR
89,RIME
90,HGT
91,TMP
92,RH
93,SPFH
94,VVEL
95,DZDT
96,UGRD
97,VGRD
98,TKE
99,CLMR
100,CICE
101,RWMR
102,SNMR
103,RIME
104,HGT
105,TMP
106,RH
107,SPFH
108,VVEL
109,DZDT
110,UGRD
111,VGRD
112,TKE
113,CLMR
114,CICE
115,RWMR
116,SNMR
117,RIME
118,HGT
119,TMP
120,RH
121,SPFH
122,VVEL
123,DZDT
124,UGRD
125,VGRD
126,TKE
127,CLMR
128,CICE
129,RWMR
130,SNMR
131,RIME
132,HGT
133,TMP
134,RH
135,SPFH
136,VVEL
137,DZDT
138,UGRD
139,VGRD
140,TKE
141,CLMR
142,CICE
143,RWMR
144,SNMR
145,RIME
146,HGT
147,TMP
148,RH
149,SPFH
150,VVEL
151,DZDT
152,UGRD
153,VGRD
154,TKE
155,CLMR
156,CICE
157,RWMR
158,SNMR
159,RIME
160,HGT
161,TMP
162,RH
163,SPFH
164,VVEL
165,DZDT
166,UGRD
167,VGRD
168,TKE
169,CLMR
170,CICE
171,RWMR
172,SNMR
